BW001,Staatliche Milchwirtschaftliche Lehr- und Forschungsanstalt-Dr.Oskar-Farny-Institut
BW004,Milchwerk Crailsheim-Dinkelsbühl eG
BW010,Hohenloher Molkerei eG
BW020,Allgäuland Käsereien GmbH Betrieb Riedlingen 
BW033,Campina GmbH 
BW034,Campina GmbH 
BW046,Allgäuland Käsereien GmbH Betrieb Tübingen
BW056,Molkereigenossenschaft Hohenlohe-Franken eG
BW061,Bodensee-Alb-Milch GmbH
BW075,OMIRA-Oberland-Milchverwertung GmbH
BW077,Bergpracht Milchwerk
BW100,Universität Hohenheim Institut für Lebensmitteltechnologie Versuchs- und Lehrmolkerei
BW170,Jörg Vogler
BW184,Eberle Naturkäserei GmbH 
BW211,M.Bauhofer Käserei GmbH
BW218,Allgäuer Emmentaler-Käserei Leupolz eG. 
BW236,OMIRA Oberland-Milchverwertung GmbH Betrieb Neuravensburg 
BW296,Allgäuland-Käsereien Betrieb Unterdettingen
BW322,Allgäuland-Käsereien GmbH Betrieb Zaisenhofen 
BW327,Käserei Zurwies GmbH
BW331,JERMI Käsewerk GmbH
BW338,Carl Fr. Scheer Käse-Import und Export
BW376,Breisgaumilch GmbH 
BW382,Schwarzwaldmilch GmbH 
BW407,Pflug-Feinkost
BW410,Trendy Food GmbH
BW413,MILEI GmbH
BW416,ARI Griechische Produkte Karalis
BW417,Lidl-Fleischwerk Handelshof GmbH & Co KG
BW418,Chäs-Chuchi Gersbach Larry Arango
BW419,Peter Bloching Peter und Paulhof 
BW420,Käsemanufaktur L.Müller
BW422,Hofkäserei Heggelbach 
BW423,Reinhard Hauser Schwalbenhof
BW425,Hügli Nahrungsmittel GmbH
BW426,Spielweger Käse K.J. Fuchs
BW427,Stiftung Haus Lindenhof
BW428,Babacan
BW429,Friedrich Hammann
BW430,Käserei Boschenhof 
BW433,Ziegenfarm Oberderdingen 
BW434,Ringgenhof
BW436,Naturkostprodukte Sieben Zwerge
BW437,Ziegen- und Käsehof Zwiener 
BW440,Dorfgemeinschaft Camphill
BW442,Die Käsmacher
BW443,Wendelin Schömbucher
BW444,Käsküche Isny GmbH 
BW445,Dorfkäserei Geifertshofen GmbH & Co. KG 
BW447,Hottenlocher Hofgemeinschaft
BW448,ÖMA-d'Beers-GmbH
BW449,Fritz Roth
BW452,J.u.J.Schmid GbRmbH
BW453,Hans Böddicker GmbH & Co. KG
BW461,Daniela und Jürgen Maisch
BW462,Dorfgemeinschaft Camphill
BW464,Reiner Wiesotzki
BW465,Schwarz-Klopfer und Huber-Kraus GbR
BW466,Bittenfelder Hofkäse
BW467,Maimoutzis GmbH 
BW468,Dobler Bauernhof Express 
BW470,Schreiber Int. & Rupp GmbH
BW471,Monte Ziego
BW472,Ingrid Bischoff 
BW473,Momeni & Niksiiar GmbH
BW474,Manfred Mäckle
BW475,Herbert und Claudia Fleck
BW477,Hanna Wiesenmayer
BW479,Bachmann GbR 
BW480,Berghof GbR
BW481,Andreas Deyer
BW483,Staufen GmbH 
BW484,Brugger-Schäfer GbR
BW485,Klaus Glöckner
BW486,Michael Rechtsteiner
BW488,Allgäuland-Käsereien Betrieb Ahegg 22
BW489,Albert Hellenthal
BW490,Talhof GbR
BW492,Martin Lais
BW493,Petra und Josef Birkle
BW494,Wanner Eis GbR
BW495,Lebens- und Arbeitsgemeinschaft Auenhof 
BW496,Roland Bahmer
BW497,Andreas Rees GDBR
BW498,Golderer GbR 
BW499,Gerrit Horlacher
BW500,Ünal Kilic
BW503,Hans Frank
BW504,Menson Biologische Erzeugnisse GmbH
BW505,Fritz Hilzinger 
BW506,Martin Mohring
BW507,Seubert GmbH 
BW508,Roland Rief
BW509,Matthias und Margarete
BW510,Alda GmbH 
BW511,Johannes Zimmermann
BW512,Monika Bisinger 
BW513,Karl Richard und Brigitte Sorg GbR
BW514,Pflaums feine Frische Produktionsgesellschaft mbH
BW515,Kaufland Fleischwaren Heilbronn GmbH & Co KG
BW516,F. u. M. Schauz 
BW517,Meinrad Straub
BW518,CaJa Käseveredelung GbR
BW520,Marga Scheulin-Widmaier
BW521,Widmann Lebensmittel GmbH
BW522,Bauernhof-Eis - Marliese Schmidt
BW523,Regina und Georg Moser
BW524,Brauereihof Egolf
BW525,Friedemann GbR
BW526,Anke Morlock 
BW528,Bürger GmbH & Co. KG
BW01014,GastroFresh Stuttgart GmbH
