+1 XXX,USA und deren Gebiete
+1 XXX,Kanada
+1 242,Bahamas
+1 246,Barbados
+1 264,Anguilla
+1 268,Antigua und Barbuda
+1 284,Britische Jungferninseln
+1 340,Amerikanische Jungferninseln
+1 345,Kaimaninseln
+1 441,Bermuda
+1 473,Grenada
+1 649,Turks- und Caicosinseln
+1 664,Montserrat
+1 670,Nördliche Marianen
+1 671,Guam
+1 684,Amerikanisch-Samoa
+1 758,St. Lucia
+1 767,Dominica
+1 784,St. Vincent und die Grenadinen
+1 787,Puerto Rico (s. +1 939)
+1 808,Midwayinseln
+1 809,Dominikanische Republik (s. +1 829)
+1 829,Dominikanische Republik (s. +1 809)
+1 868,Trinidad und Tobago
+1 869,St. Kitts und Nevis
+1 876,Jamaika
+1 939,Puerto Rico (s. +1 787)
+20,Ägypten
+210,nicht vergeben 
+211,nicht vergeben 
+212,Marokko
+213,Algerien
+214,nicht vergeben 
+215,nicht vergeben 
+216,Tunesien
+217,nicht vergeben 
+218,Libyen
+219,nicht vergeben 
+220,Gambia
+221,Senegal
+222,Mauretanien
+223,Mali
+224,Guinea
+225,Côte d'Ivoire (Elfenbeinküste)
+226,Burkina Faso (Obervolta)
+227,Niger
+228,Togo
+229,Benin
+230,Mauritius
+231,Liberia
+232,Sierra Leone
+233,Ghana
+234,Nigeria
+235,Tschad
+236,Zentralafrikanische Republik
+237,Kamerun
+238,Kap Verde
+239,São Tomé und Príncipe
+240,Äquatorialguinea
+241,Gabun
+242,Republik Kongo (Brazzaville)
+243,Demokratische Republik Kongo (Kinshasa - früheres Zaire)
+244,Angola
+245,Guinea-Bissau
+246,Chagos-Archipel (Diego-Garcia)
+247,Ascension
+248,Seychellen
+249,Sudan
+250,Ruanda
+251,Äthiopien
+252,Somalia
+253,Dschibuti
+254,Kenia
+255,Tansania
+256,Uganda
+257,Burundi
+258,Mosambik
+259,nicht vergeben 
+260,Sambia
+261,Madagaskar
+262,Französische Gebiete im Indischen Ozean unter anderem Réunion und Mayotte
+263,Simbabwe
+264,Namibia
+265,Malawi
+266,Lesotho
+267,Botsuana
+268,Swasiland
+269,Komoren
+27,Südafrika
+28x,nicht vergeben
+290,St. Helena
+291,Eritrea
+292,nicht vergeben
