A,Verfassungsorgane des Bundes,SKZ
AM,Amstetten,Niederösterreich
B,Bregenz,Vorarlberg
B,Burgenland,SKZ
BA,Bad Aussee,Steiermark
BB,Österreichische Bundesbahnen,SKZ
BD,Bundesbusdienst,SKZ
BG,Bundesgendarmerie,SKZ
BH,Bundesheer,SKZ
BL,Bruck an der Leitha,Niederösterreich
BM,Bruck an der Mur,Steiermark
BN,Baden,Niederösterreich
BP,Bundespolizei,SKZ
BR,Braunau am Inn,Oberösterreich
BZ,Bludenz,Vorarlberg
D,Diplomatisches Korps,SKZ
DL,Deutschlandsberg,Steiermark
DO,Dornbirn,Vorarlberg
E,Eisenstadt,Burgenland
EF,Eferding,Oberösterreich
EU,Eisenstadt Umgebung,Burgenland
FB,Feldbach,Steiermark
FE,Feldkirchen,Kärnten
FF,Fürstenfeld,Steiermark
FK,Feldkirch,Vorarlberg
FR,Freistadt,Oberösterreich
G,Graz,Steiermark
GB,Gröbming,Steiermark
GD,Gmünd,Niederösterreich
GF,Gänserndorf,Niederösterreich
GM,Gmunden,Oberösterreich
GR,Grieskirchen,Oberösterreich
GS,Güssing,Burgenland
GU,Graz-Umgebung,Steiermark
HA,Hallein,Salzburg
HB,Hartberg,Steiermark
HE,Hermagor,Kärnten
HL,Hollabrunn,Niederösterreich
HO,Horn,Niederösterreich
I,Innsbruck,Tirol
IL,Innsbruck Land,Tirol
IM,Imst,Tirol
JE,Jennersdorf,Burgenland
JO,Sankt Johann,Salzburg
JU,Judenburg,Steiermark
JW,Justizwache,SKZ
K,Kärnten,SKZ
K,Klagenfurt,Kärnten
KB,Kitzbühel,Tirol
KF,Knittelfeld,Steiermark
KI,Kirchdorf an der Krems,Oberösterreich
KL,Klagenfurt Land,Kärnten
KO,Korneuburg,Niederösterreich
KR,Krems an der Donau,Niederösterreich
KS,Magistrat Krems an der Donau,Niederösterreich
KU,Kufstein,Tirol
L,Linz,Oberösterreich
LA,Landeck,Tirol
LB,Leibnitz,Steiermark
LE,Leoben,Steiermark
LF,Lilienfeld,Niederösterreich
LI,Liezen,Steiermark
LL,Linz-Land,Oberösterreich
LN,Leoben,Steiermark
LZ,Lienz,Tirol
MA,Mattersburg,Burgenland
MD,Mödling,Niederösterreich
ME,Melk,Niederösterreich
MI,Mistelbach,Niederösterreich
MU,Murau,Steiermark
MZ,Mürzzuschlag,Steiermark
N,Niederösterreich,SKZ
ND,Neusiedl am See,Burgenland
NK,Neunkirchen,Niederösterreich
O,Oberösterreich,SKZ
OP,Oberpullendorf,Burgenland
OW,Oberwart,Burgenland
P,Sankt Pölten,Niederösterreich
PE,Perg,Oberösterreich
PL,Sankt Pölten Land,Niederösterreich
PT,Post und Telekom Austria,SKZ
RA,Radkersburg,Steiermark
RE,Reutte,Tirol
RI,Ried Im Innkreis,Oberösterreich
RO,Rohrbach im Mühlkreis,Oberösterreich
S,Salzburg,Salzburg
SB,Scheibbs,Niederösterreich
SD,Schärding,Oberösterreich
SE,Steyr-Land,Oberösterreich
SL,Salzburg-Umgebung,Salzburg
SP,Spittal an der Drau,Kärnten
SR,Steyr,Oberösterreich
ST,Steiermark,SKZ
SV,Sankt Veit an der Glan,Kärnten
SW,Schwechat,Niederösterreich
SZ,Schwaz,Tirol
T,Tirol,SKZ
TA,Tamsweg,Salzburg
TU,Tulln,Niederösterreich
UU,Urfahr-Umgebung,Oberösterreich
V,Vorarlberg,SKZ
VB,Vöcklabruck,Oberösterreich
VI,Villach,Kärnten
VK,Völkermarkt,Kärnten
VL,Villach,Kärnten
VO,Voitsberg,Steiermark
W,Wien,Wien
WB,Wiener Neustadt - Bezirk,Niederösterreich
WE,Wels,Oberösterreich
WL,Wels Land,Oberösterreich
WN,Wiener Neustadt,Niederösterreich
WO,Wolfsberg,Kärnten
WT,Waidhofen an der Thaya,Niederösterreich
WU,Wien-Umgebung,Niederösterreich
WY,Magistrat Waidhofen an der Ybbs,Niederösterreich
WZ,Weiz,Steiermark
Z,Zwettl,Niederösterreich
ZE,Zell am See,Salzburg
ZW,Zollwache,SKZ
