AG,Aarau,Aargau
AR,Herisau,Appenzell-Ausserrhoden
AI,Appenzell,Appenzell-Innerrhoden
BL,Liestal,Basel-Landschaft
BS,Basel,Basel-Stadt
BE,Bern,Bern
FR,Freiburg,Freiburg
GE,Genf,Genf
GL,Glarus,Glarus
GR,Chur,Graubünden
JU,Delsberg,Jura
LU,Luzern,Luzern
NE,Neuenburg,Neuenburg
NW,Stans,Nidwalden
OW,Sarnen,Obwalden
SH,Schaffhausen,Schaffhausen
SZ,Schwyz,Schwyz
SO,Solothurn,Solothurn
SG,St. Gallen,Sankt-Gallen
TI,Bellinzona,Tessin
TG,Frauenfeld,Thurgau
UR,Altdorf,Uri
VD,Lausanne,Waadt
VS,Sitten,Wallis
ZG,Zug,Zug
ZH,Zürich,Zürich
