A,Hlavní město Praha,Čechy
B,Jihomoravský kraj (Brno),Morawien
C,Jihočeský kraj (České Budějovice),Čechy-Morawien
E,Pardubický kraj (Pardubice),Čechy-Morawien
H,Královéhradecký kraj (Hradec Králové),Čechy
J,Kraj Vysočina (Jihlava),Čechy-Morawien
K,Karlovarský kraj (Karlovy Vary),Čechy
L,Liberecký kraj (Liberec),Čechy
M,Olomoucký kraj (Olomouc),Morawien-Slezsko
P,Plzeňský kraj (Plzeň),Čechy
S,Středočeský kraj (Praha),Čechy
T,Moravskoslezský kraj (Ostrava),Morawien-Slezsko
U,Ústecký kraj (Ústí nad Labem),Čechy
Z,Zlínský kraj (Zlín),Morawien
