0,Diplomatisches Corps,BRD
1,Präsident des Deutschen Bundestages,BRD
A,Augsburg,Bayern
AA,Aalen Ostalbkreis,Baden-Württemberg
AB,Aschaffenburg,Bayern
ABG,Altenburger Land,Thüringen
ABI,Anhalt-Bitterfeld / Köthen,Sachsen-Anhalt
AC,Aachen,Nordrhein-Westfalen
AE,Auerbach,Sachsen
AH,Ahaus,Nordrhein-Westfalen
AIB,Bad Aibling,Bayern
AIC,Aichach-Friedberg,Bayern
AK,Altenkirchen/Westerwald,Rheinland-Pfalz
AL,Altena,Nordrhein-Westfalen
ALF,Alfeld,Niedersachsen
ALS,Alsfeld,Hessen
ALZ,Alzenau,Bayern
AM,Amberg,Bayern
AN,Ansbach,Bayern
ANA,Annaberg,Sachsen
ANG,Angermünde,Brandenburg
ANK,Anklam,Mecklenburg-Vorpommern
AÖ,Altötting,Bayern
AP,Apolda - Weimarer Land,Thüringen
APD,Apolda,Thüringen
AR,Arnsberg,Nordrhein-Westfalen
ARN,Arnstadt,Thüringen
ART,Artern,Thüringen
AS,Amberg-Sulzbach,Bayern
ASD,Aschendorf,Niedersachsen
ASL,Aschersleben,Sachsen-Anhalt
ASZ,Aue-Schwarzenberg,Sachsen
AT,Altentreptow,Mecklenburg-Vorpommern
AU,Aue,Sachsen
AUR,Aurich,Niedersachsen
AW,Bad Neuenahr-Ahrweiler,Rheinland-Pfalz
AZ,Alzey-Worms,Rheinland-Pfalz
AZE,Anhalt-Zerbst,Sachsen-Anhalt
B,Berlin,Berlin
BA,Bamberg,Bayern
BAD,Baden-Baden,Baden-Württemberg
BAR,Barnim,Brandenburg
BB,Böblingen,Baden-Württemberg
BBG,Bernburg,Sachsen-Anhalt
BBL,Landesregierung und Landtag,Brandenburg
BC,Biberach/Riß,Baden-Württemberg
BCH,Buchen,Baden-Württemberg
BD,Bundestag / Bundesrat / Bundesregierung,BRD
BE,Beckum,Nordrhein-Westfalen
BED,Brand-Erbisdorf,Sachsen
BEI,Beilngries,Bayern
BEL,Belzig,Brandenburg
BER,Bernau bei Berlin,Brandenburg
BF,Burgsteinfurt,Nordrhein-Westfalen
BG,Bundesgrenzschutz,BRD
BGD,Berchtesgaden,Bayern
BGL,Berchtesgadener Land,Bayern
BH,Bühl,Baden-Württemberg
BI,Bielefeld,Nordrhein-Westfalen
BID,Biedenkopf,Hessen
BIN,Bingen,Rheinland-Pfalz
BIR,Birkenfeld/Nahe und Idar-Oberstein,Rheinland-Pfalz
BIT,Bitburg-Prüm,Rheinland-Pfalz
BIW,Bischofswerda,Sachsen
BK,Börde / Haldensleben,Sachsen-Anhalt
BKS,Bernkastel-Kues,Rheinland-Pfalz
BL,Zollernalbkreis / Balingen,Baden-Württemberg
BLB,Bad Berleburg,Nordrhein-Westfalen
BLK,Burgenlandkreis,Sachsen-Anhalt
BM,Rhein-Erft-Kreis / Bergheim,Nordrhein-Westfalen
BN,Bonn,Nordrhein-Westfalen
BNA,Borna,Sachsen
BO,Bochum,Nordrhein-Westfalen
BÖ,Bördekreis-Oschersleben,Sachsen-Anhalt
BOR,Borken / Ahaus,Nordrhein-Westfalen
BOT,Bottrop,Nordrhein-Westfalen
BOG,Bogen,Bayern
BOH,Bocholt,Nordrhein-Westfalen
BP,Bundespolizei,BRD
BR,Bruchsal,Baden-Württemberg
BRA,Wesermarsch / Brake,Niedersachsen
BRB,Brandenburg,Brandenburg
BRG,Burg,Sachsen-Anhalt
BRI,Brilon,Nordrhein-Westfalen
BRK,Bad Brückenau,Bayern
BRL,Braunlage,Niedersachsen
BRV,Bremervörde,Niedersachsen
BS,Braunschweig,Niedersachsen
BSB,Bersenbrück,Niedersachsen
BSK,Beeskow,Brandenburg
BT,Bayreuth,Bayern
BTF,Bitterfeld,Sachsen-Anhalt
BU,Burgdorf,Niedersachsen
BUL,Burglengenfeld,Bayern
BÜD,Büdingen,Hessen
BÜR,Büren,Nordrhein-Westfalen
BÜS,Büsingen am Hochrhein,Baden-Württemberg
BÜZ,Bützow,Mecklenburg-Vorpommern
BW,Bundes-Wasser- und Schiffahrtsverwaltung,BRD
