HK,ABW,Polska
CAL,Aleksandrów Kujawski,Kujawsko-Pomorskie
BAU,Augustów,Podlaskie
NBA,Bartoszyce,Warmińsko-Mazurskie
EBE,Bełchatów,Łódzkie
LBI,Biała Podlaska (region),Lubelskie
LB,Biała Podlaska (miasto),Lubelskie
WBR,Białobrzegi,Mazowieckie
ZBI,Białogard,Zachodniopomorskie
BIA,Białystok (region),Podlaskie
BI,Białystok (miasto),Podlaskie
BBI,Bielsk Podlaski,Podlaskie
SBI,Bielsko-Biała (region),Śląskie
SB,Bielsko-Biała (miasto),Śląskie
SBL,Bieruńsko-Lędziński (Bieruń),Śląskie
RBI,Bieszczadzki (Ustrzyki Dolne),Podkarpackie
LBL,Biłgoraj,Lubelskie
KBC,Bochnia,Małopolskie
DBL,Bolesławiec,Dolnośląskie
NBR,Braniewo,Warmińsko-Mazurskie
CBR,Brodnica,Kujawsko-Pomorskie
OB,Brzeg,Opolskie
KBR,Brzesko,Małopolskie
EBR,Brzeziny,Łódzkie
RBR,Brzozów,Podkarpackie
TBU,Busko-Zdrój,Świętokrzyskie
CBY,Bydgoszcz (region),Kujawsko-Pomorskie
CB,Bydgoszcz (miasto),Kujawsko-Pomorskie
SY,Bytom,Śląskie
GBY,Bytów,Pomorskie
SBE,Będzin,Śląskie
LCH,Chełm (region),Lubelskie
LC,Chełm (miasto),Lubelskie
CCH,Chełmno,Kujawsko-Pomorskie
PCH,Chodzież,Wielkopolskie
GCH,Chojnice,Pomorskie
SH,Chorzów,Śląskie
ZCH,Choszczno,Zachodniopomorskie
KCH,Chrzanów,Małopolskie
WCI,Ciechanów,Mazowieckie
SCI,Cieszyn,Śląskie
PCT,Czarnkowsko-Trzcianecki (Czarnków),Wielkopolskie
SCZ,Częstochowa (region),Śląskie
SC,Częstochowa (miasto),Śląskie
GCZ,Człuchów,Pomorskie
ZDR,Drawsko Pomorskie,Zachodniopomorskie
NDZ,Działdowo,Warmińsko-Mazurskie
DDZ,Dzierżoniów,Dolnośląskie
SD,Dąbrowa Górnicza,Śląskie
KDA,Dąbrowa Tarnowska,Małopolskie
RDE,Dębica,Podkarpackie
NEB,Elbląg (region),Warmińsko-Mazurskie
NE,Elbląg (miasto),Warmińsko-Mazurskie
NEL,Ełk,Warmińsko-Mazurskie
WG,Garwolin,Mazowieckie
GDA,Gdańsk (region) (Pruszcz Gdański),Pomorskie
GD,Gdańsk (miasto),Pomorskie
GA,Gdynia,Pomorskie
NGI,Giżycko,Warmińsko-Mazurskie
SGL,Gliwice (region),Śląskie
SG,Gliwice (miasto),Śląskie
PGN,Gniezno,Wielkopolskie
ZGL,Goleniów,Zachodniopomorskie
CGD,Golub-Dobrzyń,Kujawsko-Pomorskie
KGR,Gorlice,Małopolskie
FGW,Gorzów Wielkopolski (region),Lubuskie
FG,Gorzów Wielkopolski (miasto),Lubuskie
WGS,Gostynin,Mazowieckie
PGS,Gostyń,Wielkopolskie
NGO,Gołdap,Warmińsko-Mazurskie
BGR,Grajewo,Podlaskie
HW,Straż Graniczna,Polska
WGM,Grodzisk Mazowiecki,Mazowieckie
PGO,Grodzisk Wielkopolski,Wielkopolskie
CGR,Grudziądz (region),Kujawsko-Pomorskie
CG,Grudziądz (miasto),Kujawsko-Pomorskie
ZGY,Gryfice,Zachodniopomorskie
ZGR,Gryfino,Zachodniopomorskie
WGR,Grójec,Mazowieckie
DGR,Góra,Dolnośląskie
DGL,Głogów,Dolnośląskie
OGL,Głubczyce,Opolskie
BHA,Hajnówka,Podlaskie
LHR,Hrubieszów,Lubelskie
CIN,Inowrocław,Kujawsko-Pomorskie
NIL,Iława,Warmińsko-Mazurskie
LJA,Janów Lubelski,Lubelskie
PJA,Jarocin,Wielkopolskie
RJA,Jarosław,Podkarpackie
SJZ,Jastrzębie-Zdrój,Śląskie
RJS,Jasło,Podkarpackie
DJA,Jawor,Dolnośląskie
SJ,Jaworzno,Śląskie
DJE,Jelenia Góra (region),Dolnośląskie
DJ,Jelenia Góra (miasto),Dolnośląskie
TJE,Jędrzejów,Świętokrzyskie
PKA,Kalisz (region),Wielkopolskie
PK,Kalisz (miasto),Wielkopolskie
DKA,Kamienna Góra,Dolnośląskie
ZKA,Kamień Pomorski,Zachodniopomorskie
GKA,Kartuzy,Pomorskie
SK,Katowice,Śląskie
TKA,Kazimierza Wielka,Świętokrzyskie
TKI,Kielce (region),Świętokrzyskie
TK,Kielce (miasto),Świętokrzyskie
OKL,Kluczbork,Opolskie
RKL,Kolbuszowa,Podkarpackie
BKL,Kolno,Podlaskie
PKN,Konin (region),Wielkopolskie
PN,Konin (miasto),Wielkopolskie
ZKO,Koszalin (region),Zachodniopomorskie
ZK,Koszalin (miasto),Zachodniopomorskie
WKZ,Kozienice,Mazowieckie
PKL,Koło,Wielkopolskie
ZKL,Kołobrzeg,Zachodniopomorskie
TKN,Końskie,Świętokrzyskie
PKS,Kościan,Wielkopolskie
GKS,Kościerzyna,Pomorskie
KRA,Kraków (region),Małopolskie
KR,Kraków (miasto),Małopolskie
OKR,Krapkowice,Opolskie
LKS,Krasnystaw,Lubelskie
LKR,Kraśnik,Lubelskie
RKR,Krosno (region),Podkarpackie
RK,Krosno (miasto),Podkarpackie
FKR,Krosno Odrzańskie,Lubuskie
PKR,Krotoszyn,Wielkopolskie
EKU,Kutno,Łódzkie
GKW,Kwidzyn,Pomorskie
OK,Kędzierzyn-Koźle,Opolskie
PKE,Kępno,Wielkopolskie
NKE,Kętrzyn,Warmińsko-Mazurskie
SKL,Kłobuck,Śląskie
DKL,Kłodzko,Dolnośląskie
WL,Legionowo,Mazowieckie
DLE,Legnica (region),Dolnośląskie
DL,Legnica (miasto),Dolnośląskie
PLE,Leszno (region),Wielkopolskie
PL,Leszno (miasto),Wielkopolskie
RLE,Leżajsk,Podkarpackie
NLI,Lidzbark Warmiński,Warmińsko-Mazurskie
KLI,Limanowa,Małopolskie
CLI,Lipno,Kujawsko-Pomorskie
WLI,Lipsko,Mazowieckie
RLU,Lubaczów,Podkarpackie
LLB,Lubartów,Lubelskie
DLB,Lubań,Dolnośląskie
DLU,Lubin,Dolnośląskie
LUB,Lublin (region),Lubelskie
LU,Lublin (miasto),Lubelskie
SLU,Lubliniec,Śląskie
DLW,Lwówek Śląski,Dolnośląskie
GLE,Lębork,Pomorskie
WMA,Maków Mazowiecki,Mazowieckie
GMB,Malbork,Pomorskie
HPZ,Policja miastowa,Polska
KMI,Miechów,Małopolskie
RMI,Mielec,Podkarpackie
SMI,Mikołów,Śląskie
DMI,Milicz,Dolnośląskie
U,Wojsko,Polska
HB,Wojsko (MSWiA),Polska
PMI,Międzychód,Wielkopolskie
FMI,Międzyrzecz,Lubuskie
WM,Mińsk Mazowiecki,Mazowieckie
CMG,Mogilno,Kujawsko-Pomorskie
BMN,Mońki,Podlaskie
NMR,Mrągowo,Warmińsko-Mazurskie
SMY,Myszków,Śląskie
SM,Mysłowice,Śląskie
KMY,Myślenice,Małopolskie
ZMY,Myślibórz,Zachodniopomorskie
WML,Mława,Mazowieckie
CNA,Nakło nad Notecią,Kujawsko-Pomorskie
ONA,Namysłów,Opolskie
NNI,Nidzica,Warmińsko-Mazurskie
RNI,Nisko,Podkarpackie
FNW,Nowa Sól,Lubuskie
NNM,Nowe Miasto Lubawskie,Warmińsko-Mazurskie
GND,Nowy Dwór Gdański,Pomorskie
WND,Nowy Dwór Mazowiecki,Mazowieckie
KNS,Nowy Sącz (region),Małopolskie
KN,Nowy Sącz (miasto),Małopolskie
KNT,Nowy Targ,Małopolskie
PNT,Nowy Tomyśl,Wielkopolskie
ONY,Nysa,Opolskie
POB,Oborniki,Wielkopolskie
NOE,Olecko,Warmińsko-Mazurskie
OOL,Olesno,Opolskie
DOL,Oleśnica,Dolnośląskie
KOL,Olkusz,Małopolskie
NO,Olsztyn (miasto),Warmińsko-Mazurskie
NOL,Olsztyński (region),Warmińsko-Mazurskie
TOP,Opatów,Świętokrzyskie
EOP,Opoczno,Łódzkie
OPO,Opole (region),Opolskie
OP,Opole (miasto),Opolskie
LOP,Opole Lubelskie,Lubelskie
TOS,Ostrowiec Świętokrzyski,Świętokrzyskie
WOS,Ostrołęka (region),Mazowieckie
WO,Ostrołęka (miasto),Mazowieckie
POT,Ostrzeszów,Wielkopolskie
NOS,Ostróda,Warmińsko-Mazurskie
WOR,Ostrów Mazowiecka,Mazowieckie
POS,Ostrów Wielkopolski,Wielkopolskie
WOT,Otwock,Mazowieckie
DOA,Oława,Dolnośląskie
KOS,Oświęcim,Małopolskie
EPA,Pabianice,Łódzkie
EPJ,Pajęczno,Łódzkie
LPA,Parczew,Lubelskie
WPI,Piaseczno,Mazowieckie
SPI,Piekary Śląskie,Śląskie
EPI,Piotrków Trybunalski (region),Łódzkie
EP,Piotrków Trybunalski (miasto),Łódzkie
NPI,Pisz,Warmińsko-Mazurskie
PP,Piła,Wielkopolskie
TPI,Pińczów,Świętokrzyskie
PPL,Pleszew,Wielkopolskie
EPD,Poddębice,Łódzkie
HP,Policja,Polska
HPB,Policja,Dolnośląskie
HPC,Policja,Kujawsko-Pomorskie
HPD,Policja,Lubelskie
HPE,Policja,Lubuskie
HPF,Policja,Łódzkie
HPG,Policja,Małopolskie
HPH,Policja,Mazowieckie
HPJ,Policja,Opolskie
HPK,Policja,Podkarpackie
HPM,Policja,Podlaskie
HPN,Policja,Pomorskie
HPP,Policja,Śląskie
HPS,Policja,Świętokrzyskie
HPT,Policja,Warmińsko-Mazurskie
HPU,Policja,Wielkopolskie
HPW,Policja,Zachodniopomorskie
ZPL,Policja,Zachodniopomorskie
HPL,Policjaacademies Szczytno Piła Słupsk Katowice Legionowo,Polska
HPA,Główny oddział policji,Polska
DPL,Polkowice,Dolnośląskie
PZ,Poznań (region),Wielkopolskie
PO,Poznań (miasto),Wielkopolskie
KPR,Proszowice,Małopolskie
OPR,Prudnik,Opolskie
WPR,Pruszków,Mazowieckie
WPZ,Przasnysz,Mazowieckie
RPR,Przemyśl (region),Podkarpackie
RP,Przemyśl (miasto),Podkarpackie
RPZ,Przeworsk,Podkarpackie
WPY,Przysucha,Mazowieckie
SPS,Pszczyna,Śląskie
GPU,Puck,Pomorskie
LPU,Puławy,Lubelskie
WPU,Pułtusk,Mazowieckie
ZPY,Pyrzyce,Zachodniopomorskie
WPL,Płock (region),Mazowieckie
WP,Płock (miasto),Mazowieckie
WPN,Płońsk,Mazowieckie
SRC,Racibórz,Śląskie
WRA,Radom (region),Mazowieckie
